,amplitude,beyond_1_std,beyond_2_std,cusum,eta,eta_e,inter_percentile_range_25,inter_percentile_range_10,kurtosis,linear_fit_slope,linear_fit_slope_sigma,linear_fit_reduced_chi2,linear_trend,linear_trend_sigma,magnitude_percentage_ratio_40_5,magnitude_percentage_ratio_20_10,maximum_slope,mean,median_absolute_deviation,median_buffer_range_percentage_5,percent_amplitude,percent_difference_magnitude_percentile_5,percent_difference_magnitude_percentile_20,period_0,period_s_to_n_0,period_1,period_s_to_n_1,period_2,period_s_to_n_2,periodogram_amplitude,periodogram_beyond_1_std,periodogram_beyond_2_std,periodogram_cusum,periodogram_eta,periodogram_inter_percentile_range_25,periodogram_standard_deviation,periodogram_percent_amplitude,chi2,skew,standard_deviation,stetson_K,weighted_mean,tag,tag_detailed,Comments
695211400034403,2.38,0.2937063,0.04895105,0.21013738,1.039928,1205707800.0,1.7029991,2.8136015,-0.43667126,-0.00044274033,4.4554236e-05,1578.6997,-0.0014021291,0.002471348,0.17025788,0.70461226,1691.387,17.17657,0.8139992,0.5244755,2.8050003,0.22467539,0.11647366,27.723873,15.16665,1.0356218,14.538932,0.9636292,12.390801,14.688282,0.056518555,0.026672363,0.11853118,0.0114581855,0.8618472,1.8731467,28.882809,1568.2723,0.41085908,1.0970883,0.8750423,16.457632,artefact,bright star,
695211400124577,2.0444999,0.3580247,0.0061728396,0.2031971,1.5884968,2624290300.0,1.4589996,3.1200008,-0.78489304,-0.003233576,4.8309947e-05,1189.0867,-0.0038289418,0.0023235832,0.18421687,0.6504161,2339.2117,17.405014,0.74500084,0.5555556,2.3669987,0.20020893,0.11779073,0.9351276,10.08104,14.757483,9.50574,1.0356128,8.815569,4.9011283,0.11276245,0.04220581,0.112881176,0.019039461,0.8247001,0.8937681,9.2794895,1209.4812,0.39787993,1.0822589,0.9030583,16.626255,artefact,bright star,
695211400102351,2.3619995,0.3966942,0.024793388,0.15529878,1.5498954,2136627800.0,1.4047508,3.0655994,-0.5797179,0.0014584974,6.752914e-05,750.32294,-0.001382971,0.0026106574,0.07964562,0.76856095,1789.5564,18.124578,0.77199936,0.553719,2.7129993,0.20988669,0.13024323,0.80584353,8.000417,0.44599366,7.6392827,4.1721096,6.292305,4.3310623,0.12585449,0.045410156,0.14410564,0.02246554,0.99288034,0.9689513,8.0500765,747.95715,0.32172066,1.1325752,0.9005635,17.092886,artefact,bright star,
695211400053697,2.2124996,0.31,0.08,0.22902994,1.3497758,489847520.0,1.0319996,2.3375015,0.15303779,0.00026319805,6.817923e-05,1384.9421,-0.0009292607,0.0025809533,0.11094041,0.55422413,869.9375,17.259052,0.52750015,0.67,2.3449993,0.18936218,0.075389884,122.911514,4.884791,98.32921,4.519038,3.5306718,4.330569,2.6312947,0.23852539,0.049316406,0.18262717,0.026980294,1.0745335,0.87694204,4.537641,1371.1017,0.28018767,0.917519,0.85131675,16.688284,artefact,bright star,
695211200075348,1.1079998,0.45833334,0.013888889,0.40089726,0.117357224,23674476.0,1.0240002,1.4849987,-1.0290656,0.017021256,0.0004516605,2.400737,0.01976219,0.0007724739,0.13281515,0.78734136,166.09914,20.397274,0.5255003,0.9722222,1.2105007,0.08380415,0.05730394,162.77707,22.4839,1.0079076,21.699013,0.9925431,19.321726,32.224648,0.037597656,0.012145996,0.10148751,0.04884685,0.8942766,2.8201306,63.978363,12.322401,0.16334897,0.55779994,0.90271497,20.001472,transient,,"MASTER transient, red star; has spectra but still not clear what it is"
695211400000352,2.4,0.2882883,0.045045044,0.1600939,1.6023535,939619500.0,1.2997513,2.4751997,0.26909614,-0.001184555,4.407478e-05,1495.7402,-0.0019372485,0.0022577478,0.16345128,0.6633408,1075.0,17.05753,0.6630001,0.6306306,2.962,0.19825692,0.09684446,27.40988,8.943194,1.0361598,6.0055637,0.96423125,5.228,4.93005,0.107421875,0.041748047,0.14333825,0.017687635,0.7360784,1.0194563,9.457602,1488.7095,0.58317256,0.98310757,0.86488706,16.49382,artefact,bright star,
695211400088968,1.7659998,0.3359375,0.015625,0.2374729,0.97053164,669890400.0,1.4659996,2.2136002,-0.9728527,0.0015217171,5.9749582e-05,616.9839,0.0010685589,0.0018332808,0.24300067,0.739655,938.6431,17.64946,0.67500114,0.640625,2.0959988,0.1509524,0.09338925,25.483734,9.009458,14.753741,7.4844294,122.64047,6.467089,7.5360723,0.09790039,0.04663086,0.17166907,0.024452234,0.87955827,1.562311,14.599635,617.2433,0.36690226,0.86633533,0.8709915,17.032112,artefact,,empty field fits
695211400117334,2.0170002,0.304,0.04,0.2259167,1.2196878,1659338900.0,1.3892517,2.3850002,0.34686399,-0.0013815612,6.537477e-05,565.31726,-0.0027452814,0.0023010226,0.17860387,0.68490523,1162.7339,17.630182,0.59199905,0.688,2.932001,0.15693094,0.09391705,28.515747,10.750413,1.0353675,7.108358,0.96572614,5.215734,9.4760685,0.07861328,0.03930664,0.15217437,0.01230244,0.9554049,1.6692536,18.446514,564.35394,0.8994012,0.93137527,0.8920214,17.02492,artefact,bright star,
695211400028274,2.113,0.31851852,0.044444446,0.1554242,1.6205633,1274164100.0,1.2905006,2.348999,-0.43121886,-0.0011476646,5.281235e-05,1064.3679,-0.002064964,0.0019735638,0.16012575,0.6690095,1503.2318,17.65982,0.644001,0.65925926,2.1689987,0.17045832,0.088715285,27.73546,9.464938,1.0355318,6.7450185,0.964032,4.3994737,6.368265,0.09667969,0.026855469,0.15826121,0.011946907,1.0236189,1.2433405,12.130541,1059.9569,-0.03379745,0.90595067,0.8766734,16.931715,artefact,bright star,
695211400133827,2.1799998,0.37,0.02,0.26821584,0.931083,69395096.0,1.3939972,2.2754993,-0.3150735,0.0007276013,6.9943744e-05,663.1384,0.000983744,0.002242406,0.17578764,0.77741224,227.2621,17.61426,0.6739998,0.65,2.9439983,0.14596866,0.10166088,26.671322,8.359358,1.0373697,6.8765745,51.974884,4.865707,5.9774537,0.08959961,0.05029297,0.16198683,0.015353855,0.857513,1.3179022,11.432131,657.53534,0.5594554,0.88794667,0.8892474,16.999174,artefact,,empty field fits
695211400053352,1.7589998,0.26890758,0.025210084,0.15045811,1.6154139,5872776700.0,1.3764992,2.3509998,-0.83884764,-0.0003613008,0.0001265722,236.78674,-0.0027185401,0.0022528046,0.27090892,0.6691622,2293.76,19.085997,0.57299995,0.7058824,2.3309994,0.1493115,0.08112625,27.34806,6.3242536,29.761126,6.012299,54.69612,5.175628,3.1590614,0.123046875,0.048583984,0.17457232,0.018629404,0.8578872,0.8686186,5.756784,234.84921,-0.5365668,0.9139562,0.92231333,17.916967,Cl*,,"Part of the Cl*, does not explain variability directly"
695211400048384,1.6070004,0.27450982,0.039215688,0.24899244,1.5487579,1642380300.0,1.4109993,2.3843002,-0.665272,0.0022310119,0.00010126205,268.0724,-0.0006679372,0.0021985825,0.14726117,0.7125362,1709.2197,19.05707,0.3260002,0.7058824,2.6049995,0.13696705,0.08694919,121.02297,10.113528,1.0070438,7.9594064,0.99055874,5.7567444,7.2213616,0.080566406,0.03857422,0.14029558,0.024486687,0.9590559,1.3381073,13.954023,270.22012,-0.859564,0.90821546,0.92603254,17.799685,HII region,,HII (ionized) region
695211100022045,1.3059998,0.28181818,0.054545455,0.37234372,0.19249469,127563440.0,0.5089989,1.5860004,0.09361553,0.015123418,0.00030782513,5.646566,0.011170212,0.0009145837,0.08525116,0.5762921,291.74194,20.229708,0.21699905,0.8363636,1.7520008,0.09367032,0.044777557,241.9875,12.762694,56.463753,6.264701,0.99524826,2.993921,14.71895,0.056640625,0.021972656,0.12181947,0.02724955,0.9423169,2.2157104,28.834238,27.740152,-1.0342281,0.5841094,0.9250929,19.562902,transient,PNV,AT 2017ixs; Atel11755; seen in 2017-10-29
695211200009221,0.80999947,0.003937008,0.003937008,0.061779488,2.0181544,387896800.0,0.020000458,0.03609848,242.3762,5.8432423e-05,2.3282233e-05,9.420779,0.00025758293,0.00015299932,0.15288189,0.6925922,91.6344,16.853226,0.010000229,0.996063,1.5709991,0.002718702,0.0014841224,0.49663046,5.3848295,0.3317294,4.8693376,0.13967325,4.541226,1.1434081,0.368515,0.032699585,0.38648167,0.016487585,0.49184906,0.31057313,1.7027059,9.408762,15.390822,0.09965429,0.314029,16.848158,artefact,bad column,
